ticker,x,y,sector
AAPL,-13.187538,-57.173157,Technology
BAC,-3.4105034,-1.1827606,Financials
CAT,-23.490562,-88.45621,Industrials
CVX,9.788606,33.104218,Energy
DAL,4.5006485,-12.278786,Industrials
GOOGL,-14.352583,-79.80479,Technology
GS,-19.852125,-46.889965,Financials
HAL,-26.929817,-75.669044,Energy
JNJ,8.19223,3.3203583,Healthcare
JPM,-7.025916,-16.908945,Financials
KO,-6.3034387,-41.597874,Consumer
MCD,20.019781,73.23678,Consumer
META,8.948528,74.63926,Technology
MMM,18.242346,60.276627,Industrials
MSFT,-42.932865,76.58392,Technology
NKE,-45.89863,88.76096,Consumer
NVDA,-17.700222,-33.681477,Technology
PFE,20.943802,26.502459,Healthcare
UNH,-53.589363,79.61535,Healthcare
XOM,20.14839,39.2992,Energy
